#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1891 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:41 out:43 type:b dur:2 cpbdur:2 q:34.13 aq:34.68 tex:7470 mv:7405 misc:2645 imb:10 pmb:756 smb:2834 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:34.63 aq:35.69 tex:5602 mv:4700 misc:2074 imb:13 pmb:536 smb:3051 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:35.71 aq:32.77 tex:82092 mv:18557 misc:2703 imb:601 pmb:2006 smb:993 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:35.29 aq:34.19 tex:18812 mv:9386 misc:2938 imb:174 pmb:1007 smb:2419 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:35.08 aq:35.45 tex:7453 mv:5800 misc:2155 imb:99 pmb:543 smb:2958 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:35.50 aq:36.08 tex:10058 mv:5590 misc:1632 imb:185 pmb:412 smb:3003 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:35.65 aq:33.35 tex:103633 mv:22150 misc:2169 imb:810 pmb:2179 smb:611 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:35.68 aq:33.99 tex:17163 mv:10866 misc:3315 imb:69 pmb:1276 smb:2255 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:35.70 aq:34.67 tex:6379 mv:5264 misc:2045 imb:76 pmb:558 smb:2966 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:35.67 aq:36.89 tex:3078 mv:3922 misc:1976 imb:10 pmb:437 smb:3153 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:35.63 aq:33.37 tex:130252 mv:25909 misc:1415 imb:1822 pmb:1458 smb:320 d:- ref:0 w:5,29,11 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:35.64 aq:34.87 tex:40841 mv:21080 misc:3391 imb:242 pmb:1891 smb:1467 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:35.65 aq:36.20 tex:6256 mv:7069 misc:2579 imb:35 pmb:711 smb:2854 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:35.64 aq:35.80 tex:30994 mv:19849 misc:3173 imb:287 pmb:1528 smb:1785 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:35.29 aq:32.60 tex:164632 mv:28634 misc:1446 imb:1353 pmb:1966 smb:281 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:35.46 aq:34.51 tex:50182 mv:27633 misc:3001 imb:403 pmb:2040 smb:1157 d:- ref:0 ;
